Rating,Surname,Name,Country,Weight,Sex
473,Bridges, Ebanie,AU,118,Female
474,Rodriguez, Jonathan Javier,MX,115,Male
475,Gauto, Agustin,AR,108,Male
476,Mbilli, Christian,FR,168,Male
477,Mrdjenovich, Jelena,CA,126,Female
478,Johnson, Callum,GB,175,Male
479,Tapales, Marlon,PH,126,Male
480,Takayama, Katsunari,JP,108,Male
481,Sims Jr, Kenneth,US,140,Male
482,Bermudez, Esteban ,MX,108,Male
483,Ali, Ramla,SO,126,Female
484,Jukembayev, Batyrzhan ,KZ,140,Male
485,Hunter, April,GB,147,Female
486,Ponce, Jeremias,AR,140,Male
487,Bustos, Victoria Noelia,AR,140,Female
488,Alameda, Aaron ,MX,122,Male
489,Rosado, Gabriel,US,160,Male
490,Hernandez, Melissa,PR,140,Female
491,Matellon, Daniel,CU,108,Male
492,Argumedo, Jose,MX,108,Male
493,Cordova, Joel,MX,112,Male
494,Glanton, Brandon,US,200,Male
495,Munoz, Kevin,AR,115,Male
496,Demarco, Tamara,AR,108,Female
497,Lopez, Debora Anahi,AR,112,Female
498,Abellaneda, Yamila,AR,135,Female
499,Yamauchi, Ryota,JP,112,Male
